Date,Value
1-Sep-69,0.4
1-Oct-69,3.3
1-Nov-69,17.1
1-Dec-69,13.2
1-Jan-70,10.4
1-Feb-70,4.2
1-Mar-70,0
1-Apr-70,0
1-May-70,3
1-Jun-70,0
1-Jul-70,0.2
1-Aug-70,0.1
1-Sep-70,0.2
1-Oct-70,2.4
1-Nov-70,14.5
1-Dec-70,16.8
1-Jan-71,22
1-Feb-71,3.5
1-Mar-71,2.9
1-Apr-71,2.5
1-May-71,3.5
1-Jun-71,0
1-Jul-71,0.1
1-Aug-71,0.1
1-Sep-71,1
1-Oct-71,3.6
1-Nov-71,17.8
1-Dec-71,9.6
1-Jan-72,14
1-Feb-72,2.2
1-Mar-72,0
1-Apr-72,10.2
1-May-72,3.1
1-Jun-72,0
1-Jul-72,0.1
1-Aug-72,0.1
1-Sep-72,0.2
1-Oct-72,6
1-Nov-72,14.3
1-Dec-72,9.6
1-Jan-73,9.2
1-Feb-73,2.5
1-Mar-73,4
1-Apr-73,6.2
1-May-73,3
1-Jun-73,0
1-Jul-73,0.1
1-Aug-73,0.1
1-Sep-73,0.2
1-Oct-73,2.4
1-Nov-73,14.6
1-Dec-73,11.1
1-Jan-74,14.7
1-Feb-74,2.1
1-Mar-74,29.1
1-Apr-74,0
1-May-74,7.1
1-Jun-74,0
1-Jul-74,0.1
1-Aug-74,0.1
1-Sep-74,0.2
1-Oct-74,2.4
1-Nov-74,14
1-Dec-74,12.3
1-Jan-75,9
1-Feb-75,2.1
1-Mar-75,0.8
1-Apr-75,33.7
1-May-75,3
1-Jun-75,0
1-Jul-75,0.1
1-Aug-75,0.3
1-Sep-75,0.2
1-Oct-75,2.5
1-Nov-75,18.5
1-Dec-75,10.4
1-Jan-76,9.1
1-Feb-76,2.7
1-Mar-76,1
1-Apr-76,0.2
1-May-76,3.2
1-Jun-76,0
1-Jul-76,0.1
1-Aug-76,0.1
1-Sep-76,0.2
1-Oct-76,5.3
1-Nov-76,30.3
1-Dec-76,10.2
1-Jan-77,8.9
1-Feb-77,2.1
1-Mar-77,4
1-Apr-77,6.2
1-May-77,3
1-Jun-77,0
1-Jul-77,0.1
1-Aug-77,0.3
1-Sep-77,0.2
1-Oct-77,3.9
1-Nov-77,13.9
1-Dec-77,12.7
1-Jan-78,9.2
1-Feb-78,2.1
1-Mar-78,4.4
1-Apr-78,6.3
1-May-78,3
1-Jun-78,0
1-Jul-78,0.1
1-Aug-78,0.3
1-Sep-78,0.2
1-Oct-78,2.4
1-Nov-78,14.2
1-Dec-78,21.2
1-Jan-79,23.1
1-Feb-79,4.2
1-Mar-79,4
1-Apr-79,16.2
1-May-79,8.9
1-Jun-79,0
1-Jul-79,0.1
1-Aug-79,0.6
1-Sep-79,0.3
1-Oct-79,6.6
1-Nov-79,16.2
1-Dec-79,9.2
1-Jan-80,9.2
1-Feb-80,2.4
1-Mar-80,4.1
1-Apr-80,6.2
1-May-80,4.3
1-Jun-80,0
1-Jul-80,0.1
1-Aug-80,0.1
1-Sep-80,0.2
1-Oct-80,2.4
1-Nov-80,15.2
1-Dec-80,11.8
1-Jan-81,10.4
1-Feb-81,2.9
1-Mar-81,4.8
1-Apr-81,0
1-May-81,3.9
1-Jun-81,0
1-Jul-81,0.1
1-Aug-81,0.2
1-Sep-81,0.2
1-Oct-81,4.1
1-Nov-81,16.3
1-Dec-81,15.1
1-Jan-82,9.2
1-Feb-82,2.1
1-Mar-82,5.3
1-Apr-82,12
1-May-82,4.7
1-Jun-82,0
1-Jul-82,0.1
1-Aug-82,0.2
1-Sep-82,0.2
1-Oct-82,5.6
1-Nov-82,22.8
1-Dec-82,9.6
1-Jan-83,9
1-Feb-83,2.7
1-Mar-83,4
1-Apr-83,25.1
1-May-83,3
1-Jun-83,0
1-Jul-83,0.1
1-Aug-83,0.1
1-Sep-83,0.2
1-Oct-83,2.4
1-Nov-83,17.7
1-Dec-83,9.1
1-Jan-84,10.5
1-Feb-84,3.7
1-Mar-84,0
1-Apr-84,2
1-May-84,3
1-Jun-84,0
1-Jul-84,0.1
1-Aug-84,0.1
1-Sep-84,0.2
1-Oct-84,3.5
1-Nov-84,22
1-Dec-84,14.9
1-Jan-85,15.8
1-Feb-85,2.1
1-Mar-85,4
1-Apr-85,8.2
1-May-85,5.7
1-Jun-85,0
1-Jul-85,0.1
1-Aug-85,0.1
1-Sep-85,0.2
1-Oct-85,3.7
1-Nov-85,30.2
1-Dec-85,21.2
1-Jan-86,30.8
1-Feb-86,3.4
1-Mar-86,4.9
1-Apr-86,1.3
1-May-86,3
1-Jun-86,0
1-Jul-86,0.1
1-Aug-86,0.1
1-Sep-86,0.2
1-Oct-86,3
1-Nov-86,14.7
1-Dec-86,10
1-Jan-87,19.9
1-Feb-87,2.1
1-Mar-87,30.9
1-Apr-87,0
1-May-87,4.5
1-Jun-87,0
1-Jul-87,0.1
1-Aug-87,0.1
1-Sep-87,0.2
1-Oct-87,5.1
1-Nov-87,13.7
1-Dec-87,14.5
1-Jan-88,10.3
1-Feb-88,2.1
1-Mar-88,0
1-Apr-88,0.4
1-May-88,3
1-Jun-88,0
1-Jul-88,0.1
1-Aug-88,0.1
1-Sep-88,1.3
1-Oct-88,4
1-Nov-88,14.6
1-Dec-88,9.3
1-Jan-89,9.3
1-Feb-89,3.3
1-Mar-89,2.8
1-Apr-89,36.4
1-May-89,3.1
1-Jun-89,0
1-Jul-89,0.1
1-Aug-89,0.1
1-Sep-89,0.2
1-Oct-89,5
1-Nov-89,17.9
1-Dec-89,13.6
1-Jan-90,9.9
1-Feb-90,2.1
1-Mar-90,5
1-Apr-90,12.6
1-May-90,3
1-Jun-90,0
1-Jul-90,0.1
1-Aug-90,0.1
1-Sep-90,0.3
1-Oct-90,5
1-Nov-90,22.7
1-Dec-90,10.6
1-Jan-91,11.9
1-Feb-91,3.1
1-Mar-91,21.2
1-Apr-91,1.1
1-May-91,3
1-Jun-91,0
1-Jul-91,0.1
1-Aug-91,0.1
1-Sep-91,0.3
1-Oct-91,5.9
1-Nov-91,18.8
1-Dec-91,9.1
1-Jan-92,15.7
1-Feb-92,2.1
1-Mar-92,4.7
1-Apr-92,1.9
1-May-92,3
1-Jun-92,0
1-Jul-92,0.1
1-Aug-92,0.4
1-Sep-92,0.3
1-Oct-92,5.2
1-Nov-92,31.1
1-Dec-92,10.7
1-Jan-93,9.2
1-Feb-93,2.8
1-Mar-93,7
1-Apr-93,5.8
1-May-93,5.9
1-Jun-93,0
1-Jul-93,0.1
1-Aug-93,0.1
1-Sep-93,0.3
1-Oct-93,8
1-Nov-93,15.6
1-Dec-93,11.7
1-Jan-94,17.2
1-Feb-94,2.1
1-Mar-94,0
1-Apr-94,0
1-May-94,14.8
1-Jun-94,0
1-Jul-94,0.1
1-Aug-94,0.1
1-Sep-94,0.3
1-Oct-94,3.1
1-Nov-94,16.6
1-Dec-94,14.5
1-Jan-95,36.4
1-Feb-95,2.8
1-Mar-95,27.7
1-Apr-95,0
1-May-95,3.1
1-Jun-95,0
1-Jul-95,0.1
1-Aug-95,0.1
1-Sep-95,0.3
1-Oct-95,4
1-Nov-95,24.9
1-Dec-95,9.1
1-Jan-96,11
1-Feb-96,2.1
1-Mar-96,0
1-Apr-96,0
1-May-96,5.9
1-Jun-96,0
1-Jul-96,0.1
1-Aug-96,0.1
1-Sep-96,0.3
1-Oct-96,2.5
1-Nov-96,20.5
1-Dec-96,14.2
1-Jan-97,48.7
1-Feb-97,2.1
1-Mar-97,0.7
1-Apr-97,0
1-May-97,5.2
1-Jun-97,0
1-Jul-97,0.1
1-Aug-97,0.1
1-Sep-97,0.3
1-Oct-97,3.7
1-Nov-97,27
1-Dec-97,14.2
1-Jan-98,14
1-Feb-98,2.6
1-Mar-98,6.8
1-Apr-98,4.1
1-May-98,6.4
1-Jun-98,0
1-Jul-98,0.3
1-Aug-98,0.4
1-Sep-98,0.3
1-Oct-98,2.6
1-Nov-98,13.3
1-Dec-98,9.5
1-Jan-99,20.3
1-Feb-99,2.1
1-Mar-99,20.1
1-Apr-99,25.9
1-May-99,5.9
1-Jun-99,0
1-Jul-99,0.1
1-Aug-99,0.5
1-Sep-99,0.3
1-Oct-99,3.8
1-Nov-99,15.4
1-Dec-99,20
1-Jan-00,11.3
1-Feb-00,2.6
1-Mar-00,0
1-Apr-00,14.8
1-May-00,3
1-Jun-00,0
1-Jul-00,0.1
1-Aug-00,0.1
1-Sep-00,0.3
1-Oct-00,4.7
1-Nov-00,35.9
1-Dec-00,11.6
1-Jan-01,8.9
1-Feb-01,2.1
1-Mar-01,4.7
1-Apr-01,0
1-May-01,3
1-Jun-01,0
1-Jul-01,0.1
1-Aug-01,0.1
1-Sep-01,0.3
1-Oct-01,2.4
1-Nov-01,18.6
1-Dec-01,29.6
1-Jan-02,8.9
1-Feb-02,3.1
1-Mar-02,52
1-Apr-02,0.2
1-May-02,3
1-Jun-02,0
1-Jul-02,0.1
1-Aug-02,0.1
1-Sep-02,0.3
1-Oct-02,2.4
1-Nov-02,29
1-Dec-02,9.1
1-Jan-03,8.9
1-Feb-03,2.1
1-Mar-03,0
1-Apr-03,6.2
1-May-03,5
1-Jun-03,0
